fecha,tipo,clave,total
2026-04-07,partido,SUMAR,21
2026-04-07,partido,Cs,11
2026-04-07,partido,EH BILDU,14
2026-04-07,partido,PNV,6
2026-04-07,partido,JUNTS,7
2026-04-07,partido,BNG,1
2026-04-08,partido,ERC,264
2026-04-08,partido,PP,142
2026-04-08,partido,CUP,51
2026-04-08,partido,PODEMOS,16
2026-04-08,partido,PSOE,48
2026-04-08,partido,VOX,35
2026-04-08,partido,Cs,11
2026-04-08,partido,SUMAR,23
2026-04-08,partido,JUNTS,9
2026-04-08,partido,EH BILDU,6
2026-04-08,partido,SALF,1
2026-04-08,partido,PNV,8
2026-04-08,partido,BNG,1
2026-04-08,partido,MÁS MADRID,2
2026-04-08,partido,CC,1
2026-04-09,partido,PSOE,53
2026-04-09,partido,PP,92
2026-04-09,partido,PODEMOS,28
2026-04-09,partido,VOX,33
2026-04-09,partido,ERC,250
2026-04-09,partido,CUP,54
2026-04-09,partido,SUMAR,23
2026-04-09,partido,JUNTS,8
2026-04-09,partido,PNV,5
2026-04-09,partido,EH BILDU,12
2026-04-09,partido,Cs,9
2026-04-09,partido,MÁS MADRID,2
2026-04-10,partido,PSOE,59
2026-04-10,partido,ERC,244
2026-04-10,partido,PODEMOS,34
2026-04-10,partido,VOX,31
2026-04-10,partido,PP,81
2026-04-10,partido,SUMAR,23
2026-04-10,partido,EH BILDU,6
2026-04-10,partido,CUP,42
2026-04-10,partido,PNV,3
2026-04-10,partido,Cs,13
2026-04-10,partido,JUNTS,6
2026-04-10,partido,BNG,2
2026-04-10,partido,CC,1
2026-04-11,partido,ERC,186
2026-04-11,partido,VOX,20
2026-04-11,partido,PP,66
2026-04-11,partido,EH BILDU,6
2026-04-11,partido,CUP,35
2026-04-11,partido,PSOE,52
2026-04-11,partido,JUNTS,8
2026-04-11,partido,PODEMOS,22
2026-04-11,partido,SUMAR,9
2026-04-11,partido,BNG,2
2026-04-11,partido,Cs,8
2026-04-11,partido,PNV,5
2026-04-11,partido,MÁS MADRID,1
