fecha,tipo,clave,total
2026-04-01,tema,otros,21
2026-04-01,tema,vivienda,65
2026-04-01,tema,medioambiente,23
2026-04-01,tema,economia,134
2026-04-01,tema,genero,133
2026-04-01,tema,sanidad,60
2026-04-01,tema,inmigracion,38
2026-04-02,tema,justicia,134
2026-04-02,tema,sanidad,42
2026-04-02,tema,politica,222
2026-04-02,tema,internacional,408
2026-04-02,tema,genero,113
2026-04-02,tema,inmigracion,61
2026-04-02,tema,medioambiente,20
2026-04-02,tema,vivienda,84
2026-04-02,tema,otros,16
2026-04-02,tema,educacion,125
2026-04-02,tema,economia,128
2026-04-02,tema,seguridad,92
2026-04-03,tema,politica,164
2026-04-03,tema,internacional,322
2026-04-03,tema,seguridad,82
2026-04-03,tema,genero,128
2026-04-03,tema,vivienda,62
2026-04-03,tema,economia,100
2026-04-03,tema,educacion,80
2026-04-03,tema,inmigracion,53
2026-04-03,tema,medioambiente,20
2026-04-03,tema,justicia,105
2026-04-03,tema,sanidad,62
2026-04-03,tema,otros,4
2026-04-04,tema,internacional,349
2026-04-04,tema,medioambiente,20
2026-04-04,tema,economia,141
2026-04-04,tema,politica,203
2026-04-04,tema,vivienda,62
2026-04-04,tema,otros,16
2026-04-04,tema,genero,119
2026-04-04,tema,justicia,159
2026-04-04,tema,educacion,99
2026-04-04,tema,sanidad,47
2026-04-04,tema,seguridad,64
2026-04-04,tema,inmigracion,27
2026-04-05,tema,politica,206
2026-04-05,tema,internacional,347
2026-04-05,tema,seguridad,81
2026-04-05,tema,justicia,171
2026-04-05,tema,otros,14
2026-04-05,tema,sanidad,64
2026-04-05,tema,vivienda,77
2026-04-05,tema,genero,129
2026-04-05,tema,inmigracion,60
2026-04-05,tema,educacion,112
2026-04-05,tema,economia,139
2026-04-05,tema,medioambiente,32
2026-04-06,tema,justicia,232
2026-04-06,tema,sanidad,56
2026-04-06,tema,seguridad,80
2026-04-06,tema,politica,291
2026-04-06,tema,internacional,489
2026-04-06,tema,genero,112
2026-04-06,tema,otros,23
2026-04-06,tema,inmigracion,65
2026-04-06,tema,economia,154
2026-04-06,tema,vivienda,90
2026-04-06,tema,medioambiente,6
2026-04-06,tema,educacion,93
2026-04-07,tema,internacional,630
2026-04-07,tema,vivienda,152
2026-04-07,tema,medioambiente,24
2026-04-07,tema,politica,335
2026-04-07,tema,economia,226
2026-04-07,tema,sanidad,117
2026-04-07,tema,otros,16
2026-04-07,tema,justicia,255
2026-04-07,tema,genero,165
2026-04-07,tema,inmigracion,69
2026-04-07,tema,educacion,154
2026-04-07,tema,seguridad,152
2026-04-08,tema,internacional,563
2026-04-08,tema,economia,214
2026-04-08,tema,justicia,219
2026-04-08,tema,sanidad,88
2026-04-08,tema,vivienda,137
2026-04-08,tema,politica,299
2026-04-08,tema,genero,149
2026-04-08,tema,educacion,109
2026-04-08,tema,otros,32
2026-04-08,tema,medioambiente,29
2026-04-08,tema,inmigracion,68
2026-04-08,tema,seguridad,94
2026-04-09,tema,otros,20
2026-04-09,tema,economia,146
2026-04-09,tema,politica,259
2026-04-09,tema,internacional,539
2026-04-09,tema,justicia,213
2026-04-09,tema,genero,136
2026-04-09,tema,sanidad,65
2026-04-09,tema,vivienda,101
2026-04-09,tema,inmigracion,36
2026-04-09,tema,seguridad,89
2026-04-09,tema,medioambiente,23
2026-04-09,tema,educacion,111
2026-04-10,tema,justicia,189
2026-04-10,tema,internacional,518
2026-04-10,tema,politica,286
2026-04-10,tema,seguridad,116
2026-04-10,tema,genero,118
2026-04-10,tema,educacion,97
2026-04-10,tema,otros,14
2026-04-10,tema,vivienda,119
2026-04-10,tema,economia,151
2026-04-10,tema,medioambiente,30
2026-04-10,tema,inmigracion,68
2026-04-10,tema,sanidad,67
2026-04-11,tema,internacional,400
2026-04-11,tema,politica,220
2026-04-11,tema,economia,124
2026-04-11,tema,justicia,159
2026-04-11,tema,seguridad,73
2026-04-11,tema,genero,132
2026-04-11,tema,vivienda,70
2026-04-11,tema,educacion,99
2026-04-11,tema,otros,10
2026-04-11,tema,inmigracion,30
2026-04-11,tema,medioambiente,36
2026-04-11,tema,sanidad,62
2026-03-18,narrativa,corrupcion,8
2026-03-19,narrativa,inseguridad,54
2026-03-19,narrativa,crisis_economica,35
2026-03-19,narrativa,corrupcion,375
2026-03-19,narrativa,vivienda_emergencia,20
2026-03-19,narrativa,amnistia,24
2026-03-19,narrativa,crisis_territorial,38
2026-03-19,narrativa,inmigracion_ilegal,48
2026-03-19,narrativa,feminismo,29
2026-03-19,narrativa,golpe_estado,19
2026-03-19,narrativa,lawfare,8
2026-03-19,narrativa,ocupacion,32
2026-03-20,narrativa,corrupcion,156
2026-03-20,narrativa,crisis_territorial,9
2026-03-20,narrativa,inmigracion_ilegal,13
2026-03-20,narrativa,vivienda_emergencia,33
2026-03-20,narrativa,crisis_economica,31
2026-03-20,narrativa,ocupacion,12
2026-03-20,narrativa,inseguridad,8
2026-03-20,narrativa,golpe_estado,6
2026-03-20,narrativa,feminismo,3
2026-03-21,narrativa,corrupcion,110
2026-03-21,narrativa,crisis_economica,32
2026-03-21,narrativa,vivienda_emergencia,14
2026-03-21,narrativa,inseguridad,10
2026-03-21,narrativa,golpe_estado,4
2026-03-21,narrativa,inmigracion_ilegal,9
2026-03-21,narrativa,crisis_territorial,20
2026-03-21,narrativa,feminismo,5
2026-03-21,narrativa,ocupacion,2
2026-03-22,narrativa,corrupcion,149
2026-03-22,narrativa,inseguridad,10
2026-03-22,narrativa,inmigracion_ilegal,19
2026-03-22,narrativa,ocupacion,22
2026-03-22,narrativa,feminismo,15
2026-03-22,narrativa,crisis_territorial,7
2026-03-22,narrativa,crisis_economica,15
2026-03-23,narrativa,inseguridad,25
2026-03-23,narrativa,corrupcion,206
2026-03-23,narrativa,crisis_economica,12
2026-03-23,narrativa,inmigracion_ilegal,26
2026-03-23,narrativa,feminismo,15
2026-03-23,narrativa,golpe_estado,13
2026-03-23,narrativa,vivienda_emergencia,7
2026-03-23,narrativa,amnistia,7
2026-03-23,narrativa,crisis_territorial,25
2026-03-23,narrativa,ocupacion,10
2026-03-24,narrativa,corrupcion,208
2026-03-24,narrativa,crisis_territorial,14
2026-03-24,narrativa,inseguridad,27
2026-03-24,narrativa,crisis_economica,19
2026-03-24,narrativa,inmigracion_ilegal,30
2026-03-24,narrativa,feminismo,13
2026-03-24,narrativa,golpe_estado,23
2026-03-24,narrativa,ocupacion,19
2026-03-24,narrativa,vivienda_emergencia,5
2026-03-25,narrativa,inseguridad,16
2026-03-25,narrativa,corrupcion,167
2026-03-25,narrativa,inmigracion_ilegal,12
2026-03-25,narrativa,crisis_economica,9
2026-03-25,narrativa,feminismo,5
2026-03-25,narrativa,crisis_territorial,15
2026-03-25,narrativa,ocupacion,8
2026-03-25,narrativa,golpe_estado,1
2026-03-26,narrativa,corrupcion,237
2026-03-26,narrativa,inseguridad,35
2026-03-26,narrativa,inmigracion_ilegal,34
2026-03-26,narrativa,crisis_territorial,27
2026-03-26,narrativa,ocupacion,17
2026-03-26,narrativa,golpe_estado,13
2026-03-26,narrativa,crisis_economica,8
2026-03-26,narrativa,feminismo,3
2026-03-26,narrativa,pucherazo,2
2026-03-27,narrativa,inseguridad,12
2026-03-27,narrativa,corrupcion,142
2026-03-27,narrativa,feminismo,10
2026-03-27,narrativa,inmigracion_ilegal,16
2026-03-27,narrativa,crisis_territorial,16
2026-03-27,narrativa,crisis_economica,12
2026-03-27,narrativa,golpe_estado,3
2026-03-28,narrativa,corrupcion,115
2026-03-28,narrativa,inmigracion_ilegal,21
2026-03-28,narrativa,crisis_economica,7
2026-03-28,narrativa,inseguridad,14
2026-03-28,narrativa,crisis_territorial,9
2026-03-28,narrativa,vivienda_emergencia,14
2026-03-28,narrativa,ocupacion,6
2026-03-28,narrativa,feminismo,7
2026-03-28,narrativa,amnistia,5
2026-03-28,narrativa,lawfare,1
2026-03-29,narrativa,crisis_economica,19
2026-03-29,narrativa,corrupcion,136
2026-03-29,narrativa,amnistia,10
2026-03-29,narrativa,crisis_territorial,24
2026-03-29,narrativa,inseguridad,13
2026-03-29,narrativa,feminismo,4
2026-03-29,narrativa,ocupacion,14
2026-03-29,narrativa,golpe_estado,3
2026-03-29,narrativa,inmigracion_ilegal,11
2026-03-29,narrativa,vivienda_emergencia,2
2026-03-30,narrativa,corrupcion,107
2026-03-30,narrativa,inmigracion_ilegal,26
2026-03-30,narrativa,inseguridad,7
2026-03-30,narrativa,crisis_economica,10
2026-03-30,narrativa,golpe_estado,6
2026-03-30,narrativa,ocupacion,10
2026-03-30,narrativa,vivienda_emergencia,3
2026-03-30,narrativa,crisis_territorial,14
2026-03-30,narrativa,amnistia,7
2026-03-31,narrativa,crisis_economica,10
2026-03-31,narrativa,feminismo,7
2026-03-31,narrativa,corrupcion,195
2026-03-31,narrativa,lawfare,7
2026-03-31,narrativa,inseguridad,13
2026-03-31,narrativa,inmigracion_ilegal,27
2026-03-31,narrativa,crisis_territorial,1
2026-03-31,narrativa,vivienda_emergencia,9
2026-03-31,narrativa,ocupacion,12
2026-03-31,narrativa,golpe_estado,3
2026-04-01,narrativa,corrupcion,149
2026-04-01,narrativa,inseguridad,12
2026-04-01,narrativa,crisis_territorial,2
2026-04-01,narrativa,inmigracion_ilegal,12
2026-04-01,narrativa,vivienda_emergencia,4
2026-04-01,narrativa,golpe_estado,4
2026-04-01,narrativa,feminismo,3
2026-04-01,narrativa,ocupacion,14
2026-04-01,narrativa,crisis_economica,11
2026-04-02,narrativa,inmigracion_ilegal,15
2026-04-02,narrativa,corrupcion,105
2026-04-02,narrativa,ocupacion,16
2026-04-02,narrativa,crisis_economica,26
2026-04-02,narrativa,golpe_estado,2
2026-04-02,narrativa,vivienda_emergencia,3
2026-04-02,narrativa,inseguridad,8
2026-04-02,narrativa,crisis_territorial,4
2026-04-02,narrativa,amnistia,3
2026-04-03,narrativa,inseguridad,16
2026-04-03,narrativa,ocupacion,6
2026-04-03,narrativa,inmigracion_ilegal,8
2026-04-03,narrativa,corrupcion,89
2026-04-03,narrativa,crisis_territorial,7
2026-04-03,narrativa,amnistia,3
2026-04-03,narrativa,feminismo,4
2026-04-03,narrativa,golpe_estado,3
2026-04-03,narrativa,crisis_economica,7
2026-04-04,narrativa,corrupcion,138
2026-04-04,narrativa,amnistia,7
2026-04-04,narrativa,inseguridad,13
2026-04-04,narrativa,crisis_economica,10
2026-04-04,narrativa,ocupacion,12
2026-04-04,narrativa,inmigracion_ilegal,5
2026-04-04,narrativa,feminismo,5
2026-04-04,narrativa,crisis_territorial,2
2026-04-04,narrativa,golpe_estado,7
2026-04-05,narrativa,corrupcion,153
2026-04-05,narrativa,ocupacion,10
2026-04-05,narrativa,lawfare,7
2026-04-05,narrativa,inmigracion_ilegal,13
2026-04-05,narrativa,crisis_economica,15
2026-04-05,narrativa,crisis_territorial,20
2026-04-05,narrativa,feminismo,16
2026-04-05,narrativa,inseguridad,14
2026-04-05,narrativa,golpe_estado,4
2026-04-05,narrativa,vivienda_emergencia,2
2026-04-06,narrativa,inmigracion_ilegal,40
2026-04-06,narrativa,corrupcion,172
2026-04-06,narrativa,inseguridad,7
2026-04-06,narrativa,ocupacion,12
2026-04-06,narrativa,vivienda_emergencia,4
2026-04-06,narrativa,crisis_territorial,11
2026-04-07,narrativa,corrupcion,209
2026-04-07,narrativa,inmigracion_ilegal,29
2026-04-07,narrativa,crisis_territorial,25
2026-04-07,narrativa,lawfare,5
2026-04-07,narrativa,inseguridad,24
2026-04-07,narrativa,feminismo,9
2026-04-07,narrativa,crisis_economica,7
2026-04-07,narrativa,ocupacion,16
2026-04-07,narrativa,vivienda_emergencia,1
2026-04-08,narrativa,ocupacion,14
2026-04-08,narrativa,corrupcion,167
2026-04-08,narrativa,inmigracion_ilegal,27
2026-04-08,narrativa,vivienda_emergencia,9
2026-04-08,narrativa,inseguridad,7
2026-04-08,narrativa,crisis_territorial,13
2026-04-08,narrativa,golpe_estado,4
2026-04-08,narrativa,crisis_economica,8
2026-04-08,narrativa,lawfare,3
2026-04-08,narrativa,feminismo,4
2026-04-09,narrativa,corrupcion,173
2026-04-09,narrativa,inmigracion_ilegal,13
2026-04-09,narrativa,feminismo,3
2026-04-09,narrativa,inseguridad,22
2026-04-09,narrativa,golpe_estado,3
2026-04-09,narrativa,crisis_economica,16
2026-04-09,narrativa,ocupacion,14
2026-04-09,narrativa,vivienda_emergencia,10
2026-04-09,narrativa,crisis_territorial,8
2026-04-09,narrativa,amnistia,3
2026-04-10,narrativa,feminismo,20
2026-04-10,narrativa,corrupcion,128
2026-04-10,narrativa,crisis_territorial,20
2026-04-10,narrativa,inseguridad,4
2026-04-10,narrativa,vivienda_emergencia,4
2026-04-10,narrativa,inmigracion_ilegal,19
2026-04-10,narrativa,ocupacion,4
2026-04-10,narrativa,crisis_economica,4
2026-04-10,narrativa,amnistia,3
2026-04-11,narrativa,corrupcion,139
2026-04-11,narrativa,crisis_economica,8
2026-04-11,narrativa,inmigracion_ilegal,10
2026-04-11,narrativa,crisis_territorial,10
2026-04-11,narrativa,inseguridad,8
2026-04-11,narrativa,golpe_estado,3
2026-04-11,narrativa,vivienda_emergencia,3
2026-04-11,narrativa,ocupacion,9
2026-04-11,narrativa,amnistia,5
2026-03-18,partido,SUMAR,18
2026-03-18,partido,ERC,33
2026-03-18,partido,PP,55
2026-03-18,partido,VOX,47
2026-03-18,partido,PSOE,19
2026-03-18,partido,PODEMOS,7
2026-03-18,partido,JUNTS,9
2026-03-19,partido,JUNTS,28
2026-03-19,partido,ERC,711
2026-03-19,partido,SUMAR,69
2026-03-19,partido,PSOE,126
2026-03-19,partido,VOX,110
2026-03-19,partido,PP,209
2026-03-19,partido,PODEMOS,83
2026-03-19,partido,SALF,2
2026-03-18,partido,EH BILDU,1
2026-03-18,partido,CUP,1
2026-03-19,partido,PNV,11
2026-03-19,partido,CUP,81
2026-03-19,partido,MÁS MADRID,7
2026-03-19,partido,Cs,43
2026-03-19,partido,EH BILDU,19
2026-03-19,partido,BNG,2
2026-03-20,partido,ERC,212
2026-03-20,partido,PSOE,63
2026-03-20,partido,SUMAR,61
2026-03-20,partido,JUNTS,12
2026-03-20,partido,PP,81
2026-03-20,partido,VOX,34
2026-03-20,partido,PODEMOS,32
2026-03-20,partido,Cs,8
2026-03-20,partido,EH BILDU,15
2026-03-20,partido,CUP,42
2026-03-20,partido,MÁS MADRID,2
2026-03-20,partido,PNV,7
2026-03-20,partido,BNG,1
2026-03-20,partido,CC,1
2026-03-21,partido,ERC,179
2026-03-21,partido,PODEMOS,27
2026-03-21,partido,SUMAR,42
2026-03-21,partido,PP,51
2026-03-21,partido,PSOE,38
2026-03-21,partido,VOX,21
2026-03-21,partido,PNV,9
2026-03-21,partido,JUNTS,18
2026-03-21,partido,Cs,11
2026-03-21,partido,BNG,1
2026-03-21,partido,EH BILDU,9
2026-03-21,partido,CUP,28
2026-03-21,partido,MÁS MADRID,2
2026-03-21,partido,CC,2
2026-03-22,partido,VOX,32
2026-03-22,partido,PSOE,37
2026-03-22,partido,ERC,159
2026-03-22,partido,PP,76
2026-03-22,partido,CUP,39
2026-03-22,partido,PODEMOS,26
2026-03-22,partido,PNV,9
2026-03-22,partido,SUMAR,27
2026-03-22,partido,JUNTS,11
2026-03-22,partido,Cs,10
2026-03-22,partido,MÁS MADRID,4
2026-03-22,partido,EH BILDU,11
2026-03-22,partido,BNG,1
2026-03-22,partido,SALF,1
2026-03-23,partido,PP,109
2026-03-23,partido,ERC,237
2026-03-23,partido,JUNTS,22
2026-03-23,partido,PSOE,88
2026-03-23,partido,EH BILDU,14
2026-03-23,partido,VOX,30
2026-03-23,partido,SUMAR,36
2026-03-23,partido,PODEMOS,29
2026-03-23,partido,Cs,16
2026-03-23,partido,CUP,50
2026-03-23,partido,BNG,1
2026-03-23,partido,MÁS MADRID,2
2026-03-23,partido,PNV,4
2026-03-24,partido,PP,118
2026-03-24,partido,CUP,49
2026-03-24,partido,ERC,317
2026-03-24,partido,PSOE,78
