news_title,news_source,news_date,news_link,bulo_title,bulo_source,bulo_link,similarity,risk_score,detected_at
Los astronautas de la misión Artemis II coinciden: el váter de Orion huele a estufa quemada,okdiario,2026-04-04 21:14:20+00:00,https://okdiario.com/ciencia/astronautas-artemis-ii-coinciden-vater-orion-huele-estufa-quemada-16540300,La imagen de los astronautas de la misión Artemis II con arnés y frente a un croma es un montaje,newtral,https://www.newtral.es/foto-astronautas-artemis-ii/20260406/,0.669,45,2026-04-06 18:33
Falstaff y las 7 vidas de Pedro Sánchez,elmundo_espana,2026-04-05 20:56:02+00:00,https://www.elmundo.es/espana/2026/04/05/69d29cede4d4d86d5e8b4574.html,"No, Pedro Sánchez no ha tuiteado que ""la Semana Santa pasará a llamarse Semana Inclusiva Primaveral",maldita_bulos,https://maldita.es/malditobulo/20260401/no-pedro-sanchez-no-ha-tuiteado-que-la-semana-santa-pasara-a-llamarse-semana-inclusiva-primaveral/,0.607,27,2026-04-06 18:33
Ni jabalíes ni lobos: una plaga de muflones en manada está arrasando los cultivos de Alicante,huffington_es,2026-04-05 14:19:24+00:00,https://www.huffingtonpost.es/sociedad/ni-jabalies-lobos-plaga-muflones-manada-esta-arrasando-cultivos-alicante-f202604.html,Ni la escuela de Irán ni la matanza de Bucha: la nueva propaganda para negar masacres,efe_verifica,https://verifica.efe.com/ni-escuela-iran-ni-bucha-propaganda-para-negar-masacres/,0.595,24,2026-04-06 18:33
"Ni mocasines ni bailarinas, el zapato Derby es la estrella de la primavera",huffington_es,2026-04-06 13:57:22+00:00,https://www.huffingtonpost.es/life/moda/ni-mocasines-ni-bailarinas-el-zapato-derby-es-la-estrella-de-la-primavera-f202604.html,Ni la escuela de Irán ni la matanza de Bucha: la nueva propaganda para negar masacres,efe_verifica,https://verifica.efe.com/ni-escuela-iran-ni-bucha-propaganda-para-negar-masacres/,0.573,17,2026-04-06 18:33
Semana Santa y Constitución,sur,2026-04-06 00:00:00+00:00,https://www.diariosur.es/opinion/semana-santa-constitucion-20260406000100-nt.html,"No, Pedro Sánchez no ha tuiteado que ""la Semana Santa pasará a llamarse Semana Inclusiva Primaveral",maldita_bulos,https://maldita.es/malditobulo/20260401/no-pedro-sanchez-no-ha-tuiteado-que-la-semana-santa-pasara-a-llamarse-semana-inclusiva-primaveral/,0.573,17,2026-04-06 18:33
"Feijóo pide una ""reflexión"" sobre la eutanasia tras el caso de Noelia y presentará una ley estatal de cuidados paliativos",levante_emv,2026-04-05 10:17:16+00:00,https://www.levante-emv.com/espana/2026/04/05/feijoo-pide-reflexion-eutanasia-caso-noelia-ley-estatal-cuidados-paliativos-128760574.html,"No, en España no existe una ley estatal de cuidados paliativos: existen normativas autonómicas que gestionan este servicio",maldita,https://maldita.es/%23/20260406/alberto-nunez-feijoo-propone-aprobar-una-ley-estatal-de-cuidados-paliativos-pero-se-aprobo-en-2025/,0.572,17,2026-04-06 18:33
"Feijóo pide una ""reflexión apartidaria"" sobre la eutanasia tras el caso de Noelia y anuncia una ley estatal de cuidados paliativos cuando gobierne",elmundo,2026-04-05 10:15:43+00:00,https://www.elmundo.es/espana/2026/04/05/69d233b3fc6c832c5b8b457b.html,"No, en España no existe una ley estatal de cuidados paliativos: existen normativas autonómicas que gestionan este servicio",maldita,https://maldita.es/%23/20260406/alberto-nunez-feijoo-propone-aprobar-una-ley-estatal-de-cuidados-paliativos-pero-se-aprobo-en-2025/,0.569,16,2026-04-06 18:33
"Irán: Universidad Shahid Beheshti, blanco de ataques de EE. UU. e Israel",france24_es,2026-04-05 01:16:53+00:00,https://www.france24.com/es/video/20260405-ir%C3%A1n-universidad-shahid-beheshti-blanco-de-ataques-de-ee-uu-e-israel,Desinformación tras los bombardeos de EE.UU. e Israel a Irán,efe_verifica,https://verifica.efe.com/desinformacion-ataques-oriente-medio-bombardeos-israel-eeuu-iran/,0.562,14,2026-04-06 18:33
